campaign_id,channel,cost,conversions,date
78,Email,347.74,474,2024-05-14
79,TikTok,4332.2,309,2024-02-09
80,TikTok,2735.98,278,2023-05-05
81,Instagram,2042.15,422,2023-04-23
82,Google,674.33,302,2024-10-23
83,TikTok,2799.16,264,2023-07-08
84,Google,4780.32,105,2024-01-17
85,Instagram,4180.37,276,2024-11-04
86,Facebook,3868.3,453,2024-05-26
87,Email,2310.69,340,2023-06-25
88,TikTok,2658.31,353,2023-08-31
89,Google,4648.44,218,2024-08-23
90,Facebook,3444.4,146,2023-06-22
91,Email,89.1,376,2023-09-09
92,Email,4132.66,497,2024-09-06
93,Google,4951.51,31,2023-06-28
94,Google,133.27,150,2023-09-21
95,Facebook,3648.21,66,2024-01-28
96,Instagram,2769.77,28,2024-04-04
97,Google,2164.79,97,2023-12-27
98,Facebook,126.06,9,2023-02-18
99,TikTok,1260.38,435,2023-05-29
100,Google,356.78,493,2023-04-17
101,Instagram,2039.53,42,2024-01-21
102,Facebook,1592.6,57,2024-09-04
103,Instagram,3672.59,47,2023-05-26
104,Email,4888.81,79,2024-05-23
105,Email,1501.87,221,2024-08-09
106,Instagram,1376.68,243,2024-10-23
107,TikTok,1674.35,219,2024-02-08
108,TikTok,2800.09,345,2023-05-01
109,Instagram,69.17,227,2023-05-20
110,Instagram,4424.13,92,2023-02-10
111,TikTok,989.17,252,2023-03-27
112,Email,1227.39,252,2023-01-20
113,TikTok,3419.66,45,2024-07-12
114,Email,3729.37,253,2023-07-02
115,TikTok,4718.99,446,2024-01-01
116,TikTok,2960.22,203,2024-11-21
117,Instagram,976.61,63,2024-01-19
118,Email,883.19,261,2024-01-20
119,Email,110.28,252,2024-06-27
120,Facebook,2613.78,235,2023-05-25
121,Instagram,4506.59,189,2024-09-22
122,Facebook,4821.6,22,2023-03-19
123,Email,3917.94,376,2024-04-12
124,Facebook,3247.78,414,2023-02-17
125,Facebook,2491.59,306,2023-06-30
126,Facebook,2312.55,154,2024-08-22
127,TikTok,1788.05,452,2023-05-06
128,Instagram,3473.67,397,2024-10-29
129,TikTok,3741.37,108,2023-04-30
130,Google,1745.95,434,2024-08-03
131,Instagram,1341.71,131,2024-10-08
132,Email,1149.83,476,2024-11-18
133,Facebook,2005.3,354,2023-09-07
134,Instagram,2915.35,342,2023-08-13
135,Facebook,4237.22,412,2023-06-16
136,TikTok,3208.33,11,2023-11-15
137,Email,2917.84,174,2024-07-20
138,Email,2533.79,176,2023-05-11
139,Instagram,1034.58,149,2023-08-20
140,Email,4799.54,380,2023-01-02
141,Email,2498.59,116,2023-01-26
142,Google,2114.73,162,2023-08-26
143,Google,2774.59,145,2023-07-31
144,Google,1351.65,49,2024-04-06
145,TikTok,4561.68,4,2023-12-16
146,TikTok,3110.38,496,2023-01-25
147,Instagram,802.28,301,2024-05-30
148,TikTok,3161.84,340,2024-10-05
149,Google,2953.74,18,2024-09-07
150,Facebook,1837.08,35,2024-04-06
151,Instagram,4647.89,99,2023-09-05
152,TikTok,4735.0,160,2024-05-10
153,Google,3840.45,81,2024-06-01
154,TikTok,213.3,135,2024-04-08
155,Facebook,3603.46,122,2023-12-21
156,Facebook,3225.27,306,2023-07-09
157,Instagram,3937.88,213,2024-11-16
158,Facebook,2523.33,251,2023-03-05
159,Email,294.03,441,2024-08-16
160,Email,4615.65,126,2024-03-01
161,TikTok,4430.4,303,2023-10-28
162,TikTok,4339.75,30,2023-09-29
163,TikTok,323.84,213,2023-11-09
164,Facebook,4850.42,433,2024-02-17
165,Google,111.83,477,2023-06-05
166,Email,4676.06,233,2023-11-15
167,Instagram,878.05,158,2024-09-14
168,Facebook,2237.49,392,2024-08-28
169,Email,590.42,325,2024-03-12
170,Google,3225.42,432,2024-09-02
171,Email,3478.98,9,2024-03-14
172,Facebook,3714.42,287,2024-05-12
173,Email,4102.25,460,2024-01-09
174,Facebook,4943.06,369,2024-08-27
175,Google,1953.21,222,2024-11-02
176,Google,767.06,214,2024-02-11
177,Facebook,3671.0,375,2024-09-05
178,Email,263.35,450,2024-10-07
179,Instagram,1479.85,13,2023-01-03
180,TikTok,3925.41,115,2023-11-25
181,Email,963.46,301,2023-02-26
182,Instagram,675.95,193,2023-08-01
183,Facebook,532.01,250,2024-10-19
184,Google,3379.55,421,2024-10-13
185,Instagram,4715.32,0,2024-10-07
186,TikTok,841.95,151,2023-12-03
187,Google,3367.93,94,2023-06-29
188,Facebook,3337.52,497,2023-07-27
189,Google,816.7,498,2023-04-15
190,Facebook,4689.6,261,2023-02-28
191,Instagram,4752.4,318,2024-09-18
192,Instagram,1615.28,476,2024-03-16
193,Instagram,520.25,467,2024-09-27
194,Facebook,181.96,121,2023-07-15
195,Google,2524.4,131,2023-07-22
196,Google,1919.27,416,2024-05-08
197,Facebook,3775.83,383,2023-11-22
198,Email,1809.11,139,2023-07-16
199,Instagram,3168.83,363,2023-10-02
200,Instagram,2290.3,315,2024-09-12
201,TikTok,1813.19,306,2024-08-27
202,Email,516.35,334,2024-05-15
203,Email,969.56,229,2023-04-24
204,Email,3468.62,274,2023-03-03
205,Google,3749.92,168,2024-09-29
206,Google,2712.83,419,2024-09-03
207,Google,1580.32,45,2024-02-06
208,TikTok,2370.66,188,2023-12-01
209,Facebook,1091.11,173,2023-07-27
210,Facebook,4138.67,293,2024-02-06
211,TikTok,1613.02,188,2024-11-09
212,TikTok,4788.06,220,2023-01-19
213,Facebook,3981.41,186,2024-06-25
214,Email,1408.46,273,2023-03-24
215,Google,119.32,326,2023-02-27
216,TikTok,673.64,150,2024-08-17
217,Instagram,2977.46,86,2024-11-17
218,Instagram,4471.21,489,2023-04-21
219,Facebook,4417.97,373,2023-05-31
220,TikTok,2113.43,463,2023-08-11
221,TikTok,4263.24,136,2024-03-10
222,TikTok,3756.48,446,2023-03-15
223,Email,4857.95,259,2023-08-28
224,Facebook,1676.69,170,2024-02-13
225,TikTok,1505.9,104,2024-07-07
226,Facebook,3443.42,150,2023-09-16
227,Instagram,1890.47,216,2023-10-24
228,Facebook,4183.96,125,2023-06-07
229,Facebook,4228.86,107,2023-05-20
230,Facebook,3174.89,196,2023-01-08
231,TikTok,2579.17,212,2023-07-21
232,Instagram,2723.5,191,2023-06-11
233,Instagram,1096.56,76,2024-03-12
234,TikTok,3844.62,305,2023-04-02
235,Email,3248.99,262,2023-10-19
236,Google,1293.26,446,2023-10-05
237,Instagram,2863.75,371,2023-11-02
238,Facebook,4782.89,45,2023-06-26
239,TikTok,3033.38,54,2023-07-18
240,TikTok,1516.4,388,2023-08-11
241,Instagram,1664.23,143,2023-09-24
242,Facebook,1262.01,367,2023-03-12
243,Facebook,4618.33,444,2023-05-07
244,TikTok,3027.17,266,2024-10-10
245,Google,2771.27,135,2023-11-07
246,Email,3933.7,269,2024-02-05
247,Email,2205.79,280,2024-01-11
248,Email,4657.69,75,2023-09-08
249,Instagram,3988.34,269,2023-05-29
250,Email,721.15,56,2024-07-21
251,TikTok,2053.97,337,2023-05-13
252,Facebook,1844.54,201,2024-08-28
253,Google,3192.86,270,2023-10-04
254,Email,1184.94,368,2024-03-18
255,Facebook,3118.96,11,2024-02-08
256,Email,771.37,267,2023-03-08
257,Google,4274.12,468,2023-01-10
258,TikTok,2093.03,273,2023-06-11
259,Instagram,2032.79,310,2023-09-07
260,Google,4143.63,5,2024-10-06
261,Email,3209.85,454,2023-12-15
262,Facebook,2415.2,268,2023-08-05
263,Google,2551.0,268,2024-06-01
264,TikTok,3449.56,469,2023-10-25
265,Email,1099.59,491,2024-07-01
266,Facebook,90.33,32,2024-02-20
267,Instagram,1286.08,15,2023-10-06
268,Facebook,1496.59,294,2023-01-11
269,Google,2429.82,432,2023-04-21
270,Facebook,3796.97,374,2023-12-03
271,Google,2671.3,251,2023-10-18
272,Email,927.02,92,2024-06-07
273,Instagram,4209.1,338,2023-10-22
274,TikTok,2137.32,488,2024-05-05
275,TikTok,4985.17,205,2023-03-13
276,Google,2711.7,456,2023-07-01
277,Google,2539.07,111,2023-04-28
278,Google,1675.4,328,2023-10-30
279,Instagram,2376.78,213,2023-11-19
280,Facebook,179.73,84,2024-08-14
281,Email,2763.66,64,2023-03-11
282,TikTok,4602.08,447,2023-11-21
283,Google,3986.74,280,2023-12-28
284,Instagram,2820.4,491,2024-06-07
285,Google,2998.77,485,2024-05-05
286,Instagram,1302.54,129,2024-05-22
287,TikTok,4141.31,204,2023-09-24
288,Facebook,3459.03,46,2024-05-08
289,Instagram,1503.67,195,2024-04-09
290,Email,875.54,119,2023-05-14
291,Google,2361.69,303,2024-10-20
292,TikTok,4436.08,334,2023-04-22
293,Email,2541.34,147,2023-09-10
294,Instagram,2466.8,428,2023-02-15
295,Email,4637.81,129,2023-06-23
296,TikTok,4664.12,252,2023-02-23
297,Facebook,1880.05,249,2023-04-23
298,Email,304.1,84,2023-02-27
299,Instagram,277.96,238,2024-05-31
300,TikTok,589.28,374,2023-10-02
301,Facebook,4149.42,323,2023-12-13
302,Instagram,1426.29,255,2024-02-26
303,Instagram,3363.2,137,2023-09-20
304,Email,2663.0,497,2024-09-20
305,Instagram,2136.59,456,2023-07-27
306,TikTok,2463.14,88,2023-03-03
307,Google,1290.1,35,2024-01-11
308,Email,4675.87,10,2024-11-22
309,Google,4803.24,193,2023-08-24
310,Email,2462.03,220,2023-11-18
311,Instagram,2466.77,102,2023-03-12
312,TikTok,4132.44,266,2024-02-16
313,Google,4831.18,299,2023-08-17
314,Google,649.46,336,2023-12-13
315,Instagram,888.2,236,2024-11-17
316,Facebook,2700.26,450,2024-02-03
317,Google,343.87,397,2023-05-02
318,Facebook,4076.32,470,2024-07-26
319,Email,1937.99,137,2023-07-16
320,Facebook,3328.25,16,2023-04-02
321,Email,1083.82,166,2024-08-16
322,TikTok,4829.19,376,2023-05-30
323,Email,3622.77,47,2024-10-08
324,Email,3541.36,394,2023-01-04
325,Google,3129.95,365,2024-04-08
326,Facebook,2875.04,266,2023-12-24
327,Google,3413.5,2,2024-05-05
328,TikTok,3198.56,36,2023-11-11
329,Instagram,3423.22,131,2023-09-11
330,Facebook,2352.24,289,2023-01-09
331,Google,372.29,212,2024-01-11
332,Google,1411.85,201,2024-01-25
333,TikTok,4390.87,5,2024-06-28
334,Google,4755.86,364,2024-09-29
335,Facebook,4756.63,289,2024-06-15
336,Google,1815.57,88,2024-02-03
337,TikTok,3176.93,111,2023-12-06
338,Google,3849.09,162,2023-11-09
339,Google,4408.0,354,2024-11-11
340,Google,2415.85,312,2024-08-24
341,Facebook,1517.52,306,2023-02-01
342,Google,2096.99,247,2024-03-03
343,Facebook,3948.47,126,2023-02-04
344,Instagram,343.89,272,2024-11-14
345,Facebook,1161.24,218,2023-02-24
346,Google,2107.43,49,2024-09-01
347,Instagram,3596.61,484,2023-05-30
348,Google,2269.39,328,2023-02-18
349,Instagram,3889.94,111,2024-11-03
350,Google,3522.27,446,2023-05-20
351,Instagram,1094.15,220,2023-07-03
352,Instagram,3763.34,451,2023-12-27
353,Email,3461.05,43,2023-07-27
354,TikTok,2879.56,94,2023-11-12
355,Google,3251.94,307,2024-03-24
356,Facebook,480.61,362,2023-09-06
357,TikTok,376.6,155,2023-02-09
358,TikTok,2515.24,263,2023-02-12
359,Google,4805.84,63,2023-11-09
360,Google,3884.87,108,2024-03-30
361,Google,1709.05,499,2023-04-19
362,Facebook,260.48,53,2023-01-19
363,Facebook,4912.04,225,2023-11-05
364,Facebook,2023.33,262,2024-09-06
365,Instagram,2493.56,9,2023-01-23
366,Email,4203.03,49,2023-07-04
367,Google,4556.14,190,2023-12-06
368,Google,4684.16,257,2024-07-19
369,Instagram,150.5,86,2024-07-26
370,Google,3404.83,215,2024-05-29
371,TikTok,1293.11,128,2024-05-31
372,TikTok,3901.5,238,2024-03-23
373,Email,3155.71,5,2023-05-20
374,Email,638.03,9,2024-09-24
375,Facebook,1707.78,132,2024-08-16
376,Google,4753.04,72,2024-11-10
377,TikTok,2366.33,336,2024-10-09
378,TikTok,3364.15,70,2023-12-04
379,Facebook,821.01,495,2024-09-11
380,Instagram,1038.97,447,2023-09-01
381,Google,4080.86,219,2024-07-01
382,Instagram,2470.01,335,2023-08-06
383,TikTok,4387.02,138,2023-06-07
384,Email,2547.68,78,2024-10-13
385,Facebook,4299.29,366,2023-11-19
386,Google,3224.41,454,2024-08-22
387,Google,2391.09,180,2023-09-06
388,Instagram,2335.67,404,2024-01-30
389,Instagram,1879.3,495,2024-11-09
390,Facebook,2853.12,21,2023-07-02
391,Google,181.54,17,2024-01-20
392,Google,422.28,9,2024-08-27
393,Google,1625.78,7,2024-06-04
394,TikTok,2515.47,11,2023-09-25
395,Facebook,1698.72,267,2023-06-09
396,Email,3442.49,339,2023-09-27
397,Email,2843.95,182,2023-11-12
398,TikTok,3364.28,411,2023-02-13
399,Facebook,4342.13,157,2024-04-12
400,Email,4632.17,419,2023-06-27
401,Google,3549.52,172,2023-01-31
402,Email,4962.32,33,2023-04-16
403,Instagram,67.26,336,2023-06-08
404,Google,4876.71,173,2023-08-17
405,Instagram,4102.06,251,2023-04-09
406,Facebook,1076.33,43,2023-09-05
407,Email,1056.98,408,2023-03-13
408,Email,993.58,188,2023-10-17
409,Email,3498.05,393,2024-09-10
410,Facebook,269.54,199,2024-03-16
411,Email,3060.76,190,2024-09-05
412,Facebook,3762.6,231,2024-09-24
413,Email,1280.26,390,2024-03-19
414,TikTok,2818.06,332,2024-04-24
415,Instagram,4098.44,156,2024-04-10
416,Facebook,4512.22,270,2023-05-31
417,Facebook,3562.84,248,2024-10-17
418,Facebook,4950.11,429,2024-11-12
419,TikTok,4356.3,137,2024-04-01
420,Facebook,4367.36,1,2023-02-26
421,Google,1037.18,20,2024-04-05
422,Google,3537.93,223,2023-02-28
423,TikTok,1028.89,493,2024-07-27
424,Facebook,4973.74,474,2024-03-01
425,Google,3857.25,207,2023-12-07
426,Google,2663.93,326,2024-10-16
427,Email,4996.78,349,2024-07-07
428,TikTok,4215.39,9,2024-09-19
429,TikTok,4764.31,408,2024-02-04
430,TikTok,4255.07,240,2024-10-26
431,Email,140.04,173,2024-10-22
432,Instagram,3109.86,167,2024-11-08
433,Facebook,4925.28,130,2023-12-25
434,Email,2867.15,211,2023-12-14
435,Google,3320.09,288,2024-06-17
436,Facebook,3729.3,168,2024-04-29
437,Facebook,2626.45,460,2023-07-24
438,Facebook,2459.02,123,2024-02-07
439,Email,3230.8,397,2023-06-27
440,Facebook,2539.55,323,2023-11-03
441,Email,3889.56,66,2024-01-24
442,Google,2347.66,495,2023-07-01
443,Facebook,791.46,103,2024-07-01
444,TikTok,470.08,284,2023-06-14
445,Email,4728.51,73,2023-06-29
446,Facebook,4331.19,309,2024-09-12
447,Facebook,4951.82,435,2024-07-26
448,TikTok,2016.91,399,2023-04-20
449,Instagram,1122.52,125,2023-10-18
450,Instagram,516.07,16,2024-05-23
451,Facebook,1904.75,130,2023-11-24
452,Facebook,802.65,0,2024-05-13
453,TikTok,2779.51,287,2024-07-19
454,Google,532.01,372,2024-06-03
455,TikTok,3396.51,33,2023-10-02
456,Facebook,3126.23,431,2024-03-12
457,Facebook,1198.56,16,2024-03-03
458,Google,4067.48,304,2023-09-06
459,Google,2835.85,178,2023-09-25
460,Google,2499.74,114,2024-10-20
461,Facebook,3002.99,278,2023-09-17
462,Google,3349.06,194,2023-05-31
463,TikTok,3107.53,333,2023-02-23
464,Email,2031.89,146,2024-07-25
465,TikTok,4370.62,180,2024-05-16
466,Google,1980.13,111,2023-12-20
467,Instagram,340.86,83,2024-08-06
468,TikTok,1819.8,495,2023-01-21
469,Google,3261.67,184,2023-04-14
470,Google,1959.72,261,2023-07-21
471,Google,3707.31,441,2023-10-22
472,Google,2313.17,299,2023-08-05
473,TikTok,4735.87,341,2024-09-08
474,Instagram,2278.67,367,2024-02-29
475,Google,1500.35,64,2023-02-03
476,Email,190.94,162,2024-09-28
477,TikTok,3375.17,384,2023-10-12
478,Google,1959.99,443,2024-02-12
479,Email,1732.09,391,2024-10-02
480,Facebook,1486.42,140,2023-06-10
481,TikTok,92.05,293,2023-11-12
482,Instagram,1677.74,161,2023-10-08
483,Google,2360.32,90,2024-10-04
484,TikTok,3961.34,446,2024-09-18
485,TikTok,4098.45,100,2023-12-18
486,Email,4851.88,116,2023-07-13
487,Email,2478.7,69,2023-06-02
488,TikTok,3399.84,482,2023-12-23
489,Instagram,1725.28,472,2024-11-15
490,TikTok,576.59,209,2024-04-07
491,Instagram,1777.4,14,2023-03-08
492,Instagram,550.44,416,2023-05-29
493,TikTok,4692.18,73,2024-11-07
494,Google,1420.87,287,2024-11-01
495,Facebook,1429.53,390,2024-11-28
496,Instagram,3314.14,405,2024-11-02
497,Facebook,3159.68,69,2024-11-22
498,TikTok,4396.36,329,2024-03-26
499,TikTok,239.23,399,2023-12-04
500,Instagram,966.62,108,2023-04-01
501,TikTok,3129.95,160,2024-05-19
502,Email,1572.59,375,2024-10-16
503,Facebook,3222.39,134,2024-07-21
504,Instagram,2519.04,457,2024-02-18
505,Instagram,4772.26,277,2024-02-25
506,Google,657.53,393,2024-05-28
507,Facebook,3481.56,236,2023-02-26
508,Google,2260.07,391,2024-10-12
509,Google,1113.88,400,2024-01-21
510,Google,4770.49,208,2024-10-24
511,Email,3490.22,171,2023-07-06
512,Google,4933.89,305,2024-07-13
513,Facebook,118.61,28,2023-05-22
514,TikTok,2127.87,435,2024-10-11
515,TikTok,187.99,264,2024-08-07
516,Email,240.66,475,2023-06-21
517,Google,193.36,399,2024-06-30
518,Facebook,3205.21,479,2024-05-16
519,Instagram,1159.59,176,2023-02-22
520,Email,2964.58,380,2023-07-06
521,Google,1545.26,193,2023-09-19
522,Instagram,177.81,402,2024-03-21
523,TikTok,3432.1,168,2023-12-16
524,Facebook,1158.19,328,2024-06-13
525,TikTok,1932.79,55,2023-04-06
526,TikTok,4025.23,15,2024-08-28
527,Email,732.66,334,2023-04-27
528,Facebook,2639.95,491,2024-08-19
529,TikTok,779.56,195,2023-08-08
530,Instagram,1155.76,32,2023-11-04
531,Google,2781.78,481,2024-11-24
532,Email,4488.0,244,2024-02-21
533,Facebook,3789.64,358,2023-11-15
534,Email,1797.61,133,2023-06-17
535,TikTok,2466.38,487,2024-05-30
536,Google,3282.58,469,2023-05-24
537,TikTok,3479.6,347,2023-07-09
538,Facebook,337.94,416,2023-05-18
539,Google,4095.92,257,2023-02-10
540,Google,883.86,365,2024-03-17
541,Google,786.97,67,2024-07-12
542,Facebook,4958.44,278,2024-03-17
543,Email,3020.03,27,2024-09-25
544,Facebook,1152.28,77,2023-04-03
545,Instagram,185.03,230,2023-01-11
546,TikTok,3645.56,90,2024-11-21
547,Instagram,276.84,373,2024-10-15
548,Email,3160.6,160,2024-03-10
549,TikTok,4693.92,260,2024-08-04
550,Facebook,3655.66,268,2024-03-21
551,TikTok,1432.57,399,2024-02-21
552,Email,1837.62,464,2023-03-27
553,Google,1025.37,401,2024-03-25
554,Facebook,3541.71,170,2023-09-12
555,Instagram,4602.4,224,2023-07-13
556,Instagram,1379.72,242,2024-04-05
557,TikTok,4406.06,443,2024-02-28
558,Google,482.78,37,2024-10-21
559,Instagram,2725.02,431,2023-10-30
560,Email,404.97,432,2023-02-09
561,Email,3391.42,157,2024-07-18
562,Facebook,2696.41,491,2023-01-31
563,Email,149.45,333,2023-07-27
564,Google,1048.37,270,2023-04-15
565,Email,3549.16,184,2023-01-17
566,Email,1946.76,60,2024-02-23
567,Facebook,289.13,271,2023-12-01
568,Facebook,3725.8,315,2024-11-02
569,Instagram,3721.89,264,2024-03-06
570,Facebook,3400.77,230,2023-10-30
571,Google,1841.16,469,2024-10-18
572,Facebook,4165.51,59,2024-10-31
573,Google,1376.7,125,2023-06-23
574,Instagram,4475.91,85,2024-06-05
575,TikTok,4030.82,381,2024-09-11
576,TikTok,3127.04,9,2023-05-17
577,Email,2067.88,106,2023-06-01
578,Facebook,622.86,333,2024-10-27
579,Email,1100.2,278,2023-01-30
580,Google,455.91,113,2023-06-11
581,TikTok,1548.66,169,2024-05-24
582,TikTok,1401.62,309,2023-11-28
583,TikTok,1427.23,241,2023-09-10
584,TikTok,4286.09,266,2023-03-19
585,Email,1080.14,177,2023-11-06
586,TikTok,4013.05,384,2024-07-16
587,TikTok,3258.2,65,2024-10-17
588,Instagram,960.17,486,2024-11-13
589,TikTok,3719.06,112,2024-08-02
590,Facebook,2233.16,183,2024-10-06
591,Instagram,3988.55,402,2024-05-14
592,Facebook,2726.9,185,2023-04-06
593,Facebook,966.37,81,2024-04-04
594,Instagram,2964.75,332,2024-02-25
595,Google,1414.69,156,2023-05-23
596,Facebook,1108.14,384,2024-06-03
597,TikTok,1142.53,98,2023-08-15
598,Facebook,769.47,75,2023-03-07
599,Facebook,4134.37,100,2024-02-25
600,Facebook,573.19,132,2023-07-12
601,TikTok,4716.86,96,2023-05-02
602,TikTok,3381.36,405,2023-10-11
603,Google,2574.7,309,2023-05-13
604,Facebook,2826.77,380,2023-05-25
605,Facebook,2753.34,321,2024-03-20
606,Instagram,3676.63,397,2023-05-19
607,Instagram,2201.19,213,2024-08-26
608,Instagram,3931.33,165,2024-11-27
609,Email,1374.54,105,2024-10-24
610,Google,1972.52,217,2023-10-15
611,TikTok,1528.65,203,2023-11-30
612,TikTok,2783.86,44,2024-01-26
613,Email,2533.26,423,2023-10-16
614,Instagram,4961.69,403,2023-05-20
615,Instagram,4198.69,174,2024-01-10
616,Instagram,1008.33,218,2024-05-10
617,Instagram,3419.24,8,2024-01-07
618,Facebook,4198.84,1,2024-01-10
619,Instagram,530.49,177,2023-08-04
620,Email,3871.59,440,2023-08-31
621,TikTok,1719.45,303,2024-10-15
622,Email,231.55,90,2024-01-14
623,Email,4896.86,440,2023-07-10
624,Facebook,732.36,108,2023-02-17
625,Facebook,2977.1,464,2023-10-25
626,Facebook,2599.94,226,2024-03-14
627,Email,1163.59,387,2023-10-19
628,Instagram,4565.4,298,2024-02-01
629,Instagram,1162.06,234,2023-01-30
630,Google,662.74,169,2023-03-17
631,Google,244.63,132,2023-07-26
632,Facebook,892.01,64,2023-07-01
633,Instagram,1727.88,21,2024-07-15
634,Instagram,4859.24,407,2023-07-23
635,Email,4387.58,99,2023-09-13
636,Google,3768.37,478,2024-09-01
637,Instagram,3792.08,218,2024-04-14
638,Instagram,1115.95,273,2023-10-28
639,Email,2699.85,83,2023-02-06
640,Google,1866.52,242,2024-05-27
641,Instagram,1625.47,198,2023-12-26
642,Instagram,305.34,48,2023-04-06
643,Email,2397.51,136,2023-09-11
644,Facebook,1105.15,274,2023-02-03
645,Email,4268.04,189,2023-12-21
646,Instagram,653.09,318,2024-08-25
647,Facebook,2796.71,421,2023-09-21
648,Email,2400.26,169,2023-04-18
649,Facebook,4837.69,406,2023-04-09
650,Email,1341.35,84,2024-07-10
651,Facebook,4453.56,272,2024-07-10
652,TikTok,3469.07,262,2024-07-16
653,Facebook,1260.96,346,2024-06-08
654,Email,2579.18,378,2024-05-27
655,Facebook,3471.92,477,2023-12-21
656,Email,4901.11,219,2024-06-02
657,Google,3459.19,457,2023-08-14
658,Instagram,2296.58,339,2024-10-27
659,Instagram,4599.92,144,2023-03-12
660,Google,1724.84,277,2023-05-16
661,Instagram,2830.77,54,2024-08-30
662,Facebook,3490.66,462,2023-06-20
663,TikTok,2681.86,422,2024-03-10
664,Instagram,1878.69,187,2023-10-26
665,Email,3587.68,266,2024-11-08
666,TikTok,3825.32,19,2024-04-09
667,Facebook,4632.27,112,2023-03-20
668,TikTok,2901.18,293,2024-05-08
669,Google,4050.4,79,2023-06-26
670,Instagram,1147.39,488,2023-03-22
671,Google,4620.34,87,2023-10-10
672,TikTok,299.16,169,2023-05-13
673,Google,3415.98,50,2023-09-20
674,Google,4672.73,220,2023-10-23
675,Email,3460.28,161,2023-12-18
676,Facebook,651.75,441,2024-02-22
677,Facebook,1979.56,230,2024-10-07
678,Instagram,717.21,238,2024-09-22
679,Email,1080.55,439,2024-01-18
680,Email,3840.69,269,2024-09-22
681,Email,1179.75,387,2023-02-06
682,TikTok,677.14,402,2023-02-21
683,Email,2185.01,153,2024-02-18
684,Facebook,1700.16,34,2023-11-06
685,TikTok,1681.46,337,2024-03-06
686,Email,4766.05,481,2024-02-08
687,Email,2893.35,72,2023-07-06
688,TikTok,4399.47,169,2023-12-24
689,TikTok,448.18,117,2024-03-10
690,Instagram,3161.52,181,2023-08-31
691,Google,78.28,74,2024-03-10
692,Instagram,4728.19,366,2024-08-05
693,Email,2756.53,394,2024-01-11
694,TikTok,515.64,147,2024-08-04
695,TikTok,2886.82,450,2023-01-09
696,Instagram,1532.32,245,2024-01-20
697,Google,4132.46,225,2023-01-11
