product_id,category,price,cost
153,Food,498.72,54.67
154,Clothing,471.5,178.44
155,Sports,337.11,162.95
156,Home,352.11,149.18
157,Electronics,65.52,155.0
158,Home,437.78,50.87
159,Home,34.52,140.12
160,Sports,162.28,182.48
161,Food,495.62,147.86
162,Home,214.05,147.63
163,Food,69.92,25.1
164,Sports,484.8,58.85
165,Sports,492.15,97.65
166,Clothing,97.59,126.97
167,Electronics,433.08,178.99
168,Sports,198.26,259.28
169,Sports,193.78,49.43
170,Food,135.04,6.5
171,Sports,27.13,135.87
172,Home,137.66,130.77
173,Clothing,31.62,166.47
174,Clothing,462.56,250.3
175,Home,332.55,241.1
176,Sports,443.88,31.81
177,Electronics,360.06,280.33
178,Sports,69.99,34.9
179,Clothing,470.59,191.1
180,Electronics,450.45,202.38
181,Food,177.3,204.6
182,Food,60.21,81.07
183,Sports,353.56,100.44
184,Sports,365.54,165.51
185,Electronics,448.93,61.48
186,Electronics,31.06,8.05
187,Sports,75.14,169.52
188,Clothing,301.13,140.65
189,Food,311.47,197.71
190,Electronics,21.64,45.72
191,Clothing,201.48,252.6
192,Sports,294.16,45.57
193,Home,370.27,267.62
194,Electronics,161.49,135.96
195,Home,244.53,165.84
196,Clothing,407.96,269.18
197,Food,477.18,91.37
198,Clothing,119.01,56.18
199,Food,130.26,134.83
200,Clothing,470.21,74.82
201,Electronics,200.98,159.3
202,Electronics,360.58,84.03
203,Home,308.07,259.62
204,Clothing,146.37,182.98
205,Clothing,328.51,2.07
206,Home,329.51,242.03
207,Sports,298.26,100.4
208,Clothing,54.33,97.42
209,Clothing,497.61,116.15
210,Clothing,203.21,189.82
211,Sports,320.93,133.73
212,Electronics,443.45,189.33
213,Home,214.53,45.74
214,Sports,388.09,291.11
215,Food,486.05,219.42
216,Food,182.67,76.56
217,Sports,205.61,217.8
218,Sports,453.26,173.36
219,Electronics,84.02,34.54
220,Food,19.15,55.1
221,Home,454.9,14.31
222,Clothing,411.69,243.15
223,Clothing,486.43,166.41
224,Electronics,33.83,96.39
225,Electronics,82.31,39.65
226,Food,57.13,146.25
227,Home,343.29,158.53
228,Home,304.97,211.18
229,Sports,182.87,291.04
230,Electronics,33.42,131.61
231,Clothing,321.63,123.0
232,Clothing,287.21,112.24
233,Food,60.89,248.42
234,Clothing,454.91,48.58
235,Home,103.48,104.46
236,Home,373.04,218.04
237,Electronics,443.11,6.68
238,Food,291.84,88.24
239,Clothing,127.19,193.15
240,Electronics,158.08,57.41
241,Sports,443.45,92.21
242,Sports,152.64,146.84
243,Clothing,374.36,127.76
244,Clothing,495.13,33.6
245,Clothing,499.91,281.59
246,Home,269.07,15.2
247,Clothing,414.15,225.42
248,Sports,495.17,23.28
249,Clothing,190.46,141.25
250,Food,129.94,54.27
251,Sports,61.55,44.05
252,Food,74.75,39.52
253,Sports,427.51,136.93
254,Electronics,296.42,155.61
255,Sports,437.49,41.75
256,Sports,395.78,293.86
257,Food,338.5,78.81
258,Food,306.61,138.73
259,Sports,28.93,66.45
260,Sports,436.78,149.19
261,Home,211.83,227.29
262,Electronics,282.09,157.29
263,Electronics,15.87,87.12
264,Clothing,468.36,76.02
265,Sports,451.86,228.16
266,Sports,273.92,37.23
267,Sports,290.77,112.25
268,Sports,353.98,47.14
269,Electronics,136.02,78.88
270,Food,114.85,47.5
271,Home,338.64,266.26
272,Food,56.69,220.11
273,Food,229.76,169.16
274,Electronics,248.92,68.88
275,Home,193.76,154.05
276,Sports,96.71,157.21
277,Electronics,180.88,177.94
278,Electronics,172.09,19.91
279,Home,252.14,291.92
280,Clothing,338.97,140.7
281,Electronics,484.28,278.11
282,Food,76.36,4.92
283,Food,437.14,75.77
284,Sports,145.67,32.99
285,Electronics,297.73,231.35
286,Sports,275.63,97.4
287,Electronics,280.69,252.47
288,Home,363.06,250.05
289,Electronics,193.94,201.0
290,Clothing,162.95,200.4
291,Food,427.15,210.65
292,Home,113.95,202.78
293,Food,94.22,117.3
294,Sports,12.73,205.48
295,Home,109.24,269.43
296,Clothing,261.67,101.11
297,Food,271.56,283.58
298,Electronics,130.94,6.05
299,Electronics,40.78,106.03
300,Electronics,373.6,41.37
301,Home,380.2,39.73
302,Clothing,498.93,245.0
303,Clothing,450.51,275.67
304,Clothing,463.4,233.77
305,Food,400.11,293.03
306,Home,309.67,66.47
307,Electronics,68.63,43.96
308,Food,313.05,157.17
309,Clothing,32.7,249.05
310,Electronics,443.22,13.87
311,Home,243.5,298.68
312,Sports,350.25,181.47
313,Clothing,30.86,293.72
314,Clothing,269.45,110.79
315,Clothing,154.13,138.49
316,Clothing,146.06,226.2
317,Electronics,197.88,238.22
318,Home,5.32,71.44
319,Food,236.0,279.08
320,Electronics,245.85,260.49
321,Home,432.25,7.43
322,Food,227.02,40.31
323,Clothing,184.96,149.84
324,Home,497.4,139.36
325,Clothing,287.75,213.1
326,Home,238.94,28.73
327,Sports,250.49,194.17
328,Clothing,405.54,185.68
329,Clothing,173.63,71.62
330,Clothing,197.63,163.63
331,Electronics,379.16,68.22
332,Food,41.13,45.78
333,Clothing,433.26,172.79
334,Clothing,217.95,293.29
335,Electronics,292.74,72.61
336,Electronics,379.95,107.89
337,Sports,136.7,78.46
338,Home,445.71,81.41
339,Clothing,489.72,122.45
340,Home,249.67,211.15
341,Electronics,468.78,13.56
342,Electronics,5.56,287.22
343,Sports,447.65,15.79
344,Food,158.97,264.61
345,Electronics,159.19,268.52
346,Clothing,117.9,158.3
347,Sports,161.92,42.83
348,Food,110.67,170.41
349,Sports,453.41,189.33
350,Electronics,450.02,257.61
351,Food,55.59,166.17
352,Home,75.71,124.39
353,Food,431.7,251.81
354,Clothing,202.47,294.32
355,Home,88.79,194.24
356,Home,257.78,262.57
357,Clothing,211.25,180.42
358,Home,113.48,207.56
359,Electronics,361.77,207.07
360,Food,317.49,212.03
361,Food,54.33,97.66
362,Clothing,463.07,173.55
363,Electronics,281.44,179.05
364,Home,128.85,95.89
365,Food,107.11,106.26
366,Food,72.29,229.15
367,Food,215.2,175.65
368,Food,72.09,46.46
369,Sports,210.83,251.62
370,Clothing,78.64,265.17
371,Home,330.12,140.91
372,Home,393.69,64.25
373,Clothing,277.01,284.39
374,Electronics,341.63,264.92
375,Clothing,469.5,74.83
376,Food,320.99,30.49
377,Food,185.26,133.31
378,Clothing,227.49,203.57
379,Clothing,430.96,54.27
380,Home,69.71,154.94
381,Home,166.24,128.77
382,Sports,290.75,267.38
383,Sports,339.81,130.01
384,Food,382.93,161.07
385,Sports,162.51,286.68
386,Sports,77.2,91.31
387,Electronics,477.65,88.12
388,Clothing,42.81,240.28
389,Home,52.42,84.71
390,Sports,250.0,249.9
391,Home,410.54,30.47
392,Sports,388.38,35.16
393,Sports,469.16,270.59
394,Food,75.09,163.16
395,Electronics,190.98,216.21
396,Clothing,144.66,69.14
397,Clothing,431.13,51.55
398,Food,246.74,250.82
399,Food,18.29,108.87
400,Clothing,355.44,137.6
401,Clothing,197.41,10.34
402,Electronics,267.92,116.99
403,Sports,447.42,231.59
404,Electronics,132.09,246.74
405,Clothing,123.93,210.23
406,Sports,135.28,208.27
407,Clothing,172.36,152.86
408,Electronics,58.14,162.42
409,Electronics,350.12,223.3
410,Electronics,107.66,75.7
411,Sports,463.44,70.99
412,Home,111.76,285.08
413,Home,131.54,10.25
414,Clothing,152.03,43.56
415,Sports,385.43,171.96
416,Food,216.67,221.87
417,Home,410.57,162.29
418,Sports,393.5,107.81
419,Sports,465.1,293.44
420,Home,379.52,211.75
421,Sports,30.7,249.75
422,Sports,419.45,13.99
423,Home,469.35,72.3
424,Electronics,496.88,113.5
425,Clothing,67.01,56.42
426,Food,308.57,23.72
427,Clothing,103.73,69.08
428,Electronics,134.94,161.02
429,Electronics,374.06,209.33
430,Sports,488.95,232.66
431,Clothing,299.45,14.79
432,Electronics,426.04,129.54
433,Clothing,9.4,38.42
434,Electronics,23.13,130.5
435,Food,300.38,131.32
436,Electronics,197.55,150.47
437,Clothing,445.43,268.06
438,Sports,154.48,241.92
439,Clothing,218.87,191.74
440,Home,266.32,265.85
441,Clothing,140.15,204.18
442,Food,454.7,246.02
443,Food,234.94,170.01
444,Food,214.96,158.52
445,Electronics,425.63,217.78
446,Food,159.43,7.87
447,Clothing,409.65,207.73
448,Sports,65.53,280.49
449,Food,95.48,214.75
450,Clothing,475.67,12.96
451,Electronics,422.01,114.61
452,Electronics,197.01,243.26
453,Sports,321.04,287.67
454,Sports,471.77,112.31
455,Clothing,109.87,252.68
456,Sports,34.21,259.42
457,Sports,271.05,38.74
458,Electronics,75.59,254.04
459,Clothing,97.72,98.63
460,Sports,446.31,178.78
461,Clothing,8.66,162.61
462,Food,409.33,199.59
463,Electronics,260.89,222.66
464,Electronics,281.85,133.38
465,Electronics,337.53,266.72
466,Home,218.57,243.23
467,Clothing,62.23,236.06
468,Food,55.9,138.56
469,Sports,378.41,13.2
470,Food,114.41,148.69
471,Clothing,18.91,269.74
472,Electronics,489.91,58.75
473,Home,490.29,294.81
474,Clothing,192.18,242.69
475,Clothing,17.63,213.53
476,Sports,365.0,203.79
477,Food,416.35,176.93
478,Food,66.88,216.76
479,Sports,72.05,127.73
480,Home,412.0,253.9
481,Electronics,461.34,209.51
482,Electronics,396.42,231.83
483,Home,104.37,238.16
484,Sports,208.7,29.44
485,Clothing,302.42,18.58
486,Food,84.35,240.69
487,Clothing,109.25,79.3
488,Food,145.03,175.43
489,Clothing,257.21,134.23
490,Sports,257.85,8.57
491,Sports,408.08,14.0
492,Home,377.74,248.48
493,Clothing,457.3,183.09
494,Clothing,417.29,158.11
495,Home,130.67,283.42
496,Home,168.99,53.59
497,Sports,252.71,78.88
498,Sports,12.06,227.51
499,Clothing,452.43,233.02
500,Sports,26.95,122.66
